Property Type,Property Subtype,Region,City,CP,Agency Name,Agency Email,Agency Phone,Type de vente,Price,Nombre de façades,Nombre de chambres,Nombre de salles de bain,Nombre de douches,Nombre de toilettes,Nombre de pièces,Nombre de parking intérieurs,Nombre de parking extérieurs,Type de cuisine,État du bâtiment,Surface habitable,Surface jardin,Surface totale,Basement,Dressing,Dining Room,Meublé,Cheminée,Terrasse,Jardin,Piscine
HOUSE,VILLA,Flandres,Ruddervoorde,8020,DE SMET & POUPEYE KANTOOR ASSEBROEK,louis.desoete@desmet-poupeye.be,,BUY_REGULAR,519000,4,5,1,0,2,,1,4,INSTALLED,GOOD,291,495,1050,1,0,1,0,1,0,1,0
HOUSE,VILLA,Flandres,Maldegem,9990,DE SMET & POUPEYE KANTOOR ASSEBROEK,louis.desoete@desmet-poupeye.be,,BUY_REGULAR,599000,4,5,2,2,2,,3,4,HYPER_EQUIPPED,AS_NEW,326,250,760,0,1,1,0,1,0,1,0
APARTMENT,APARTMENT,Flandres,Middelkerke,8430,Immo Francois,contact@immofrancois.be,+32 59 46 04 60,BUY_REGULAR,395000,,3,1,1,2,4,,,,GOOD,129,,,1,0,0,0,1,0,0,0
HOUSE,HOUSE,Wallonie,Charleroi Marcinelle,6001,Le Deal Immobilier,ledealimmobilier_380@importfrommedia.be,+32 71 34 11 32,BUY_REGULAR,169000,3,2,1,1,2,,,2,USA_INSTALLED,GOOD,113,150,242,1,0,1,0,0,0,1,0
HOUSE,HOUSE,Flandres,Bredene,8450,Broker,info@broker.be,,BUY_REGULAR,390000,3,3,,0,2,,3,,,,295,,357,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Namur,5100,STAG,storage6951_427@importfrommedia.be,,BUY_REGULAR,249000,2,5,3,3,3,,,,SEMI_EQUIPPED,TO_BE_DONE_UP,175,,264,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Brugge,8000,Bricx,info@bricx.be,+32 50 81 67 67,BUY_REGULAR,259000,,2,1,0,1,6,1,,,GOOD,96,,,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Gavere,9890,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,368500,4,3,1,0,1,,1,1,HYPER_EQUIPPED,AS_NEW,112,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Seilles,5300,Gillet Stephane Sprl,stephanegillet@omniwebsites.be,+32 85 71 31 76,BUY_REGULAR,199000,2,2,1,0,2,,1,,INSTALLED,GOOD,130,,225,1,0,0,0,1,0,0,0
HOUSE,HOUSE,Flandres,Alveringem,8690,Residentie Vastgoed - Nieuwpoort,residentievastgoednp@contactme.skarabee.com,+32 59 25 05 90,BUY_REGULAR,215000,3,2,1,0,1,1,,3,,GOOD,98,,240,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,LIER,2500,Immo Vercammen,info@immovercammen.be,+32 15 75 54 44,BUY_REGULAR,425000,2,3,1,0,2,,,,INSTALLED,GOOD,159,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Gent,9040,Flame Estate,flameestate@contactme.skarabee.com,+32 9 279 76 73,BUY_REGULAR,498000,3,4,1,0,2,1,1,3,,GOOD,219,180,305,1,0,0,0,0,0,1,0
APARTMENT,PENTHOUSE,Flandres,Middelkerke,8430,Immo Francois,contact@immofrancois.be,+32 59 46 04 60,BUY_REGULAR,350000,,2,1,0,1,3,,,,JUST_RENOVATED,77,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Gand,9000,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,1050000,2,4,4,4,4,5,,,INSTALLED,GOOD,279,,86,0,0,0,0,0,0,0,0
HOUSE,VILLA,Flandres,Berlare,9290,Huysewinkel Waasland,huysewinkelwaasmunster@contactme.skarabee.com,+32 3 777 77 11,BUY_REGULAR,655000,4,3,1,1,2,1,2,,,GOOD,327,,1476,0,0,1,0,0,0,0,0
HOUSE,HOUSE,Bruxelles,Bruxelles,1000,Trianon Invest,obrialexis_uccle_210@importfrommedia.be,+32 2 340 37 07,BUY_REGULAR,565000,2,5,4,4,5,,,,INSTALLED,TO_BE_DONE_UP,265,,110,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Lokeren,9160,WOONBUREAU NV,woonbureau_lokeren@contactme.skarabee.com,+32 9 348 37 19,BUY_REGULAR,187000,2,2,1,0,1,1,,,,GOOD,86,,,0,0,1,0,0,0,0,0
HOUSE,VILLA,Flandres,Herk-de-Stad,3540,Era Nobis - Herk-de-Stad,nobis@era.be,+32 11 35 14 00,BUY_REGULAR,995000,4,5,2,0,,,,,HYPER_EQUIPPED,,434,,2546,1,0,1,0,0,0,0,1
APARTMENT,APARTMENT,Bruxelles,Ixelles,1050,Propinvest SA, info@vdbcm.net,+32 455 14 26 26,BUY_REGULAR,349000,2,1,1,0,1,,,,,GOOD,108,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Knokke-Heist,8300,Christophe Colpaert Exclusive Properties,christophecolpaert_knokke@importfrommedia.be,+32 50 61 25 71,BUY_REGULAR,815000,2,3,1,0,2,,,,USA_HYPER_EQUIPPED,JUST_RENOVATED,76,,,1,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Assebroek,8310,Huys Noord Immobiliën,contact@huysnoord.be,+32 50 70 06 00,BUY_REGULAR,495000,3,3,1,1,2,10,1,2,INSTALLED,AS_NEW,208,,360,0,0,0,0,0,0,0,0
APARTMENT,KOT,Flandres,Sint-Michiels,8200,Isera Vastgoed,Z10041@secure.fortissimmo.net,+32 50 72 02 72,BUY_REGULAR,119000,,1,1,0,1,4,,,,,,,,0,0,0,0,0,0,0,0
HOUSE,VILLA,Flandres,Lubbeek,3210,We Invest Leuven,storage4563_760@importfrommedia.be,+32 16 60 60 31,BUY_REGULAR,1350000,4,5,2,0,3,,3,16,HYPER_EQUIPPED,AS_NEW,535,12000,12762,1,0,1,0,0,0,1,1
APARTMENT,APARTMENT,Flandres,Gavere,9890,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,373650,4,2,1,0,1,,1,1,HYPER_EQUIPPED,AS_NEW,126,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Hoogstraten,2320,ERA Noord,immoweb@erabelgium.be,,BUY_REGULAR,385000,2,2,1,0,,,,,HYPER_EQUIPPED,GOOD,97,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Wallonie,Gerpinnes Gougnies,6280,L' Avenir Immobilier,info@avenir-immobilier.be,+32 71 22 11 41,BUY_REGULAR,175000,3,2,1,0,1,,,2,,,,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Deinze,9800,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,395000,2,2,1,0,1,,,101,HYPER_EQUIPPED,AS_NEW,99,,,1,0,0,0,0,0,0,0
HOUSE,TOWN_HOUSE,Bruxelles,Uccle,1180,Trianon Invest,obrialexis_uccle_210@importfrommedia.be,+32 2 340 37 07,BUY_REGULAR,795000,2,4,2,2,2,,1,,HYPER_EQUIPPED,AS_NEW,230,70,225,0,0,0,0,0,0,1,0
HOUSE,HOUSE,Wallonie,NEERHEYLISSEM,1357,CAP'HOUSES,caphouses@omniwebsites.be ,+32 10 87 20 87,BUY_REGULAR,495000,4,3,2,0,3,,2,6,SEMI_EQUIPPED,TO_BE_DONE_UP,260,,1500,1,0,0,0,1,0,1,0
APARTMENT,APARTMENT,Flandres,Sint-Andries,8200,Isera Vastgoed,Z10041@secure.fortissimmo.net,+32 50 72 02 72,BUY_REGULAR,220000,,2,1,0,,13,1,,,TO_RENOVATE,110,,,1,0,0,0,0,0,0,0
HOUSE,VILLA,Wallonie,Waterloo,1410,Engel & Völkers Waterloo,waterloo@engelvoelkers.com,+32 2 403 28 98,BUY_REGULAR,1490000,4,5,2,0,,,4,2,HYPER_EQUIPPED,GOOD,450,,954,1,1,1,0,0,0,1,0
HOUSE,HOUSE,Flandres,Diepenbeek,3590,ERA Nobis - Hasselt,nobis@era.be,+32 11 35 14 00,BUY_REGULAR,399500,3,3,2,0,,,,,HYPER_EQUIPPED,,214,,1011,0,0,1,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Middelkerke,8434,Immo Francois,contact@immofrancois.be,+32 59 46 04 60,BUY_REGULAR,320000,,2,1,0,1,3,,,,JUST_RENOVATED,79,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Aalst,9300,Scaldis Vastgoed,scaldis@contactme.skarabee.com,+32 52 42 30 42,BUY_REGULAR,210000,,2,,0,,1,,,,GOOD,75,,,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Bruxelles,Woluwe-Saint-Lambert,1200,BATHIM & CO RESIDENTIAL,bathimco_bruxelles@importfrommedia.be,+32 2 733 00 00,BUY_REGULAR,655000,2,2,2,0,2,,,35,USA_HYPER_EQUIPPED,AS_NEW,114,,,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Middelkerke,8430,Immo Francois,contact@immofrancois.be,+32 59 46 04 60,BUY_REGULAR,129000,,1,1,0,1,2,,,,GOOD,,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Wallonie,La Louvière,7100,Arihome,storage10541_bw_411@importfrommedia.be,,BUY_REGULAR,149000,3,2,1,0,1,,1,1,INSTALLED,TO_RENOVATE,105,,,1,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Flémalle Awirs,4400,Immobilière du Bois,info@immodubois.be,+32 85 23 47 31,BUY_REGULAR,299000,3,3,1,1,2,,1,5,INSTALLED,GOOD,150,1400,1512,0,0,0,0,0,0,1,0
HOUSE,HOUSE,Flandres,Grammont,9500,Vastgoed Svena,svena-szJG1htd@omniwebsites.be,+32 54 25 08 16,BUY_REGULAR,299000,3,3,1,0,2,,1,,,GOOD,,,1013,1,0,0,0,1,0,0,0
HOUSE,HOUSE,Flandres,Ninove,9400,Vastgoed Svena,svena-szJG1htd@omniwebsites.be,+32 54 25 08 16,BUY_REGULAR,175000,2,3,1,0,1,,,,,GOOD,123,,80,1,0,0,0,1,0,0,0
APARTMENT,APARTMENT,Bruxelles,Bruxelles,1000,We Invest Bruxelles,storage4563_152@importfrommedia.be,+32 2 318 62 66,BUY_REGULAR,365000,4,2,2,2,2,,,23,USA_INSTALLED,AS_NEW,99,,,1,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Roeselare,8800,Vastgoed Sinnaeve,sinnaeveroeselare@contactme.skarabee.com,+32 493 40 13 30,BUY_REGULAR,209000,4,3,1,0,2,1,,1,,GOOD,138,,0,0,0,0,0,0,0,0,0
APARTMENT,PENTHOUSE,Bruxelles,Uccle,1180,Rêvimmo Brussels,revimmo_bruxelles@importfrommedia.be,+32 2 217 00 32,BUY_REGULAR,890000,2,3,2,0,2,,,2,HYPER_EQUIPPED,GOOD,180,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Gentbrugge,9050,ERA Wonen Gent,immoweb@erabelgium.be,+32 9 277 99 66,BUY_REGULAR,275000,2,4,1,0,,,,,,,129,,60,1,0,0,0,0,0,0,0
HOUSE,MANSION,Flandres,Waregem,8790,Immo Francois,waregem@immofrancois.be,+32 56 94 69 56,BUY_REGULAR,480000,,4,2,0,3,5,1,,,JUST_RENOVATED,187,,422,1,1,0,0,0,0,0,0
HOUSE,APARTMENT_BLOCK,Flandres,Vlezenbeek,1602,CENTURY 21 ATG,c21atg@omniwebsites.be,+32 54 34 34 34,BUY_REGULAR,210000,3,2,1,0,1,,1,,USA_INSTALLED,JUST_RENOVATED,76,,0,0,0,0,0,1,0,0,0
HOUSE,HOUSE,Wallonie,Bernissart,7320,Primmo Péruwelz,elodie@primmo.be,+32 69 22 78 11,BUY_REGULAR,299000,4,4,5,0,,,,,INSTALLED,,,,1271,0,0,0,0,0,0,0,0
APARTMENT,GROUND_FLOOR,Flandres,Middelkerke,8430,Immo Francois,contact@immofrancois.be,+32 59 46 04 60,BUY_REGULAR,315000,,2,1,0,1,3,1,,,JUST_RENOVATED,83,,,1,0,0,0,0,0,0,1
HOUSE,HOUSE,Flandres,Lievegem,9930,Solvas Zomergem,willemsnv@contactme.skarabee.com,+32 9 376 08 52,BUY_REGULAR,300000,3,1,1,0,1,1,1,3,,TO_RENOVATE,,,1384,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Sint-Niklaas,9100,Uw-huis.be,uw-huis@contactme.skarabee.com,+32 52 46 38 03,BUY_REGULAR,259000,2,3,1,0,2,1,,,,GOOD,169,,102,0,0,0,0,0,0,0,0
HOUSE,VILLA,Flandres,Oostduinkerke,8670,Broker,info@broker.be,,BUY_REGULAR,1050000,4,4,2,0,3,,2,3,INSTALLED,AS_NEW,287,,694,0,0,0,0,1,0,1,0
HOUSE,HOUSE,Flandres,Geraardsbergen Onkerzele,9500,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,515000,4,3,1,0,2,,1,3,INSTALLED,AS_NEW,168,326,421,0,0,0,0,0,0,1,0
HOUSE,HOUSE,Wallonie,Flémalle Awirs,4400,Immobilière du Bois,info@immodubois.be,+32 85 23 47 31,BUY_REGULAR,299000,3,3,1,1,2,,1,5,INSTALLED,GOOD,150,1400,1512,0,0,0,0,0,0,1,0
HOUSE,HOUSE,Flandres,Wemmel,1780,L'ETUDE DES PROPRIÉTAIRES,storage3345_604@importfrommedia.be,+32 2 895 00 45,BUY_REGULAR,399999,3,3,2,2,2,,,2,SEMI_EQUIPPED,GOOD,300,264,264,1,0,1,0,0,0,1,0
