Property Type,Property Subtype,Region,City,CP,Agency Name,Agency Email,Agency Phone,Type de vente,Price,Nombre de façades,Nombre de chambres,Nombre de salles de bain,Nombre de douches,Nombre de toilettes,Nombre de pièces,Nombre de parking intérieurs,Nombre de parking extérieurs,Type de cuisine,État du bâtiment,Surface habitable,Surface jardin,Surface totale,Basement,Dressing,Dining Room,Meublé,Cheminée,Balcon,Terrasse,Jardin,Piscine
HOUSE,BUNGALOW,Wallonie,Namur,5100,Nigel Immo,nigelimmo_oupeye_136@importfrommedia.be,+32 4 264 38 04,BUY_REGULAR,149000,4,3,1,1,2,,1,3,NOT_INSTALLED,TO_RENOVATE,116,400,1085,0,0,1,0,0,0,1,1,0
HOUSE,HOUSE,Wallonie,Beauvechain,1320,Living-Stone Oud-Heverlee,pajota_899@importfrommedia.be,,BUY_REGULAR,495000,4,4,2,0,2,,1,2,INSTALLED,GOOD,277,1050,1398,0,0,0,0,0,0,1,1,0
APARTMENT,APARTMENT,Bruxelles,Ganshoren,1083,Hertog Makelaars,vastgoeddehertog@importfrommedia.be,+32 2 303 45 45,BUY_REGULAR,210000,2,2,1,0,1,,,,INSTALLED,GOOD,76,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Bruxelles,Anderlecht,1070,Immo One,immoone@omniwebsites.be,+32 2 522 51 22,BUY_REGULAR,239000,,2,1,0,1,,1,,INSTALLED,GOOD,80,,,1,0,0,0,1,0,1,0,0
HOUSE,HOUSE,Wallonie,Lasne,1380,Immo Vermast,immovermast@omniwebsites.be,+32 2 687 79 90,BUY_REGULAR,945000,4,4,2,0,2,,1,,HYPER_EQUIPPED,AS_NEW,245,,1680,0,0,0,0,1,0,1,0,0
APARTMENT,APARTMENT,Bruxelles,Uccle,1180,Latour et Petit Vente,latouretpetitvente@importfrommedia.be,+32 2 777 19 19,BUY_REGULAR,690000,2,2,2,1,2,,1,1,HYPER_EQUIPPED,AS_NEW,177,,,1,0,1,0,0,0,1,0,1
HOUSE,HOUSE,Flandres,Antwerpen,2140,Home Sweet Home Immobiliën,homesweethome@contactme.skarabee.com,+32 3 488 45 88,BUY_REGULAR,210000,5,3,10,0,2,5,,,,GOOD,95,,49,1,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Wallonie,Waterloo,1410,Immo Références,immorefe_bruxelles@importfrommedia.be,+32 2 534 55 55,BUY_REGULAR,436150,,2,2,1,1,,,1,USA_HYPER_EQUIPPED,AS_NEW,,202,,1,0,0,0,0,0,1,1,0
APARTMENT,APARTMENT,Wallonie,Wavre,1300,Promimo Immobilière,promimo@omniwebsites.be,+32 10 24 10 21,BUY_REGULAR,225000,,1,,1,1,,,1,INSTALLED,AS_NEW,70,,,0,0,0,0,1,0,0,0,0
HOUSE,HOUSE,Flandres,Oostende,8400,Immo Francois,contact@immofrancois.be,+32 59 46 46 46,BUY_REGULAR,249000,,3,1,0,2,4,,,,GOOD,124,,102,0,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Wallonie,Saint-Nicolas Tilleur,4420,We Invest Liège,storage4563_506@importfrommedia.be,+32 4 277 00 07,BUY_REGULAR,199000,3,2,,1,1,,1,1,,TO_BE_DONE_UP,125,334,466,1,0,1,0,0,0,1,1,0
HOUSE,VILLA,Wallonie,Grâce-Hollogne,4460,M2B srl,fabrice@votresolution.be,+32 492 65 00 36,BUY_REGULAR,349000,4,3,1,0,2,,1,4,,GOOD,1160,1,1160,0,0,0,0,0,0,0,1,0
HOUSE,EXCEPTIONAL_PROPERTY,Wallonie,Etalle (Buzenol),6740,PEPIT-IMMO,storage8222_659@importfrommedia.be,,BUY_REGULAR,640000,4,5,2,2,3,,2,6,USA_HYPER_EQUIPPED,AS_NEW,248,2635,2760,0,0,1,0,0,0,1,1,0
APARTMENT,APARTMENT,Flandres,Renaix,9600,Immo AD NV,immo-ad@omniwebsites.be,+32 55 21 48 08,BUY_REGULAR,119000,2,2,1,0,1,,,1,INSTALLED,GOOD,63,,,1,0,0,0,1,0,0,0,0
